id,carat,cut,color,clarity,depth,table,price,x,y,z
39718,0.5,Good,E,SI1,64.2,59.0,1090,5.03,4.97,3.21
44657,0.35,Premium,G,SI1,60.3,60.0,522,4.57,4.59,2.76
6311,0.56,Very Good,D,IF,62.5,59.0,4025,5.26,5.3,3.3
33335,0.32,Ideal,F,VVS1,61.1,56.0,827,4.42,4.45,2.71
33953,0.23,Very Good,E,VVS2,62.7,59.0,465,3.93,3.95,2.47
17362,1.01,Ideal,E,VS2,61.3,57.0,6968,6.49,6.46,3.97
12001,1.01,Good,D,SI1,63.9,61.0,5147,6.31,6.28,4.02
12402,1.12,Very Good,D,SI2,61.2,60.0,5233,6.63,6.67,4.07
27541,2.24,Ideal,I,SI1,60.5,59.0,18299,8.45,8.5,5.13
46961,0.36,Premium,J,SI1,61.6,60.0,527,4.58,4.54,2.81
33485,0.32,Premium,F,VS2,61.4,60.0,828,4.42,4.38,2.7
13378,0.26,Very Good,D,VS1,63.3,57.0,420,4.03,4.06,2.56
48116,0.52,Ideal,G,VVS1,61.9,54.4,1936,5.15,5.18,3.2
44343,0.5,Very Good,G,VS1,63.2,59.0,1580,5.03,5.07,3.19
19680,1.06,Ideal,G,VS1,61.1,57.0,8285,6.54,6.61,4.02
26659,2.12,Ideal,H,SI2,62.4,57.0,16466,8.19,8.16,5.1
10142,1.12,Very Good,I,SI1,61.7,58.1,4724,6.6,6.66,4.09
48715,0.52,Ideal,D,VS1,61.0,56.0,2010,5.2,5.23,3.18
7034,1.32,Premium,J,SI2,61.2,59.0,4160,7.08,7.04,4.32
28089,0.3,Fair,F,VS2,64.5,55.0,662,4.31,4.19,2.74
44115,0.53,Premium,F,VS1,61.5,61.0,1558,5.17,5.11,3.16
24764,2.09,Premium,H,SI2,60.9,58.0,13119,8.23,8.2,5.0
28858,0.41,Ideal,E,SI2,61.9,57.0,683,4.76,4.8,2.96
2341,0.83,Very Good,G,SI1,62.3,58.0,3171,5.97,6.01,3.73
45156,0.5,Ideal,D,SI1,60.8,56.0,1654,5.14,5.12,3.12
45137,0.56,Premium,E,SI1,62.5,59.0,1653,5.24,5.2,3.26
53852,0.71,Ideal,H,VVS1,62.1,57.0,2742,5.67,5.7,3.53
30235,0.33,Ideal,E,VS2,60.8,57.0,723,4.45,4.47,2.71
42679,0.41,Ideal,G,IF,62.1,57.0,1336,4.77,4.76,2.96
26883,2.48,Premium,I,VS2,60.1,58.0,16820,8.83,8.76,5.29
48019,0.63,Premium,E,SI1,61.3,58.0,1921,5.57,5.52,3.4
50952,0.71,Premium,E,SI2,62.7,59.0,2322,5.66,5.7,3.56
20136,1.2,Premium,G,VS1,61.4,60.0,8596,6.86,6.81,4.2
46716,0.7,Good,E,SI2,56.9,61.0,1793,5.85,5.9,3.34
28573,0.3,Ideal,H,VS1,62.7,55.0,675,4.3,4.25,2.68
53367,0.77,Premium,G,SI1,61.6,59.0,2657,5.9,5.85,3.62
3139,0.88,Ideal,E,SI2,62.2,57.0,3329,6.08,6.2,3.82
44265,0.52,Ideal,E,VS2,61.4,54.0,1576,5.2,5.23,3.2
10655,1.01,Ideal,D,SI2,60.5,57.0,4837,6.53,6.6,3.97
15752,1.32,Very Good,I,SI2,61.2,58.0,6300,7.12,7.06,4.34
10580,1.16,Premium,F,SI2,61.2,61.0,4820,6.77,6.74,4.14
5212,0.72,Ideal,F,VVS2,60.9,56.0,3780,5.83,5.77,3.53
41794,0.52,Premium,G,SI1,62.7,58.0,1249,5.13,5.07,3.2
25286,2.18,Premium,J,SI1,62.9,59.0,13938,8.25,8.21,5.18
20130,1.1,Very Good,G,IF,60.5,55.0,8592,6.77,6.71,4.08
32232,0.31,Ideal,G,VVS1,62.0,53.0,789,4.35,4.39,2.71
33447,0.32,Ideal,G,VS1,62.9,57.0,828,4.4,4.37,2.76
30041,0.39,Ideal,E,SI1,62.1,53.0,719,4.69,4.72,2.92
25256,2.03,Ideal,J,VS2,62.1,57.0,13880,8.15,8.08,5.04
49827,0.56,Ideal,G,VVS2,60.7,56.0,2167,5.33,5.32,3.23
33698,0.33,Ideal,G,VVS1,61.7,55.0,838,4.48,4.5,2.77
8607,1.2,Very Good,G,SI2,61.8,60.0,4443,6.78,6.85,4.21
17792,1.0,Premium,F,VS2,60.7,57.0,7168,6.5,6.45,3.93
5207,1.0,Premium,J,SI1,62.8,59.0,3780,6.37,6.27,3.97
32800,0.38,Ideal,E,VS2,62.0,54.2,805,4.66,4.68,2.89
38789,0.31,Premium,G,VVS1,59.5,60.0,1046,4.41,4.39,2.62
15169,1.01,Ideal,D,SI1,63.0,57.0,6097,6.43,6.34,4.02
19981,1.01,Very Good,F,VVS2,61.9,56.0,8525,6.42,6.48,3.99
37211,0.34,Ideal,G,IF,60.9,56.0,974,4.5,4.53,2.75
31888,0.3,Premium,G,VS1,61.4,60.0,776,4.33,4.3,2.65
21207,1.16,Ideal,F,VS1,61.9,54.0,9348,6.75,6.79,4.19
26483,1.75,Very Good,G,VS2,62.8,59.0,16073,7.53,7.62,4.76
1298,0.75,Good,F,VS1,64.4,59.0,2953,5.67,5.72,3.66
28395,0.33,Premium,H,VS2,62.3,58.0,668,4.41,4.38,2.74
13343,1.26,Premium,I,SI1,60.9,58.0,5504,6.99,6.94,4.24
45105,0.59,Ideal,H,VS2,62.2,59.0,1648,5.38,5.34,3.33
10707,1.09,Very Good,H,SI1,61.7,59.0,4849,6.53,6.59,4.05
12405,1.2,Very Good,J,VS2,58.7,60.0,5234,6.93,6.96,4.08
35181,0.31,Ideal,G,IF,61.0,57.0,891,4.4,4.42,2.69
31060,0.31,Ideal,D,VS1,60.5,57.0,752,4.39,4.41,2.66
555,0.8,Ideal,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
24566,1.62,Ideal,F,SI1,62.5,55.0,12857,7.56,7.52,4.71
25832,1.66,Ideal,H,IF,61.5,57.0,14859,7.62,7.59,4.68
22567,1.5,Good,G,SI1,64.2,58.0,10618,7.2,7.14,4.6
29813,0.3,Ideal,D,SI1,62.5,57.0,709,4.28,4.26,2.67
2346,0.79,Ideal,E,SI1,60.3,56.0,3171,5.99,6.05,3.63
40686,0.53,Good,E,SI1,63.6,56.0,1156,5.19,5.1,3.27
2014,0.81,Very Good,H,VS1,63.6,57.0,3104,5.87,5.9,3.74
8847,0.96,Premium,F,SI1,60.6,62.0,4480,6.39,6.35,3.86
37623,0.44,Premium,I,VVS1,62.5,60.0,990,4.87,4.82,3.03
28255,0.33,Ideal,F,VS2,62.3,55.0,666,4.42,4.47,2.77
2152,0.7,Very Good,G,VS1,61.9,57.0,3127,5.68,5.71,3.53
1111,0.73,Ideal,E,SI1,61.4,58.0,2914,5.76,5.8,3.55
5414,0.76,Ideal,F,VS1,61.9,55.0,3820,5.88,5.84,3.63
31695,0.36,Premium,F,SI1,60.3,58.0,770,4.65,4.6,2.79
48440,0.51,Ideal,G,VVS2,61.3,57.0,1974,5.15,5.12,3.15
12628,1.26,Premium,I,SI1,60.5,62.0,5292,6.97,6.92,4.2
51850,0.7,Premium,F,SI1,61.3,59.0,2423,5.74,5.68,3.5
21566,1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8
37727,0.34,Premium,G,VVS2,61.7,56.0,995,4.51,4.47,2.77
19761,1.01,Very Good,F,VS2,62.0,60.0,8330,6.36,6.39,3.95
11258,1.11,Ideal,E,SI2,62.2,56.0,4969,6.58,6.66,4.12
21970,1.5,Premium,H,SI1,59.0,62.0,10038,7.39,7.31,4.56
20326,1.5,Premium,I,SI1,62.0,62.0,8736,7.35,7.3,4.54
24189,2.18,Very Good,G,SI2,63.3,59.0,12377,8.25,8.2,5.2
32286,0.31,Ideal,J,VVS2,61.8,54.0,453,4.38,4.39,2.71
2302,0.7,Ideal,F,VS1,61.0,58.0,3162,5.74,5.76,3.51
38754,0.41,Ideal,F,VVS2,61.8,55.0,1044,4.77,4.81,2.96
5153,1.01,Good,F,SI2,64.0,56.0,3768,6.25,6.32,4.02
488,0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48
40215,0.34,Premium,G,VVS1,61.5,59.0,1122,4.5,4.47,2.76
53722,0.78,Very Good,G,SI1,63.0,58.0,2721,5.82,5.86,3.68
30898,0.41,Ideal,D,SI1,61.9,55.0,744,4.77,4.8,2.96
13387,0.39,Fair,E,SI1,65.6,60.0,601,4.5,4.56,2.97
39759,0.51,Ideal,G,SI2,61.3,55.0,1094,5.17,5.19,3.17
39027,0.43,Very Good,G,VVS2,62.2,55.0,1056,4.81,4.84,3.0
30710,0.36,Ideal,E,VS2,60.7,56.0,738,4.63,4.65,2.82
40867,0.55,Ideal,F,SI2,62.3,57.0,1175,5.22,5.27,3.27
48522,0.54,Ideal,G,VVS2,60.6,56.0,1985,5.26,5.27,3.19
36958,0.27,Ideal,H,VS1,61.6,56.0,480,4.18,4.2,2.58
52149,0.7,Good,F,SI1,62.8,58.0,2470,5.6,5.65,3.53
28560,0.3,Ideal,H,VS1,61.4,54.0,675,4.37,4.33,2.67
14348,1.5,Very Good,G,I1,60.3,61.0,5808,7.34,7.39,4.44
39524,0.51,Premium,I,SI1,62.7,59.0,1080,5.09,5.06,3.18
28456,0.41,Good,G,SI1,63.4,57.0,671,4.7,4.73,2.99
5390,0.3,Very Good,G,SI1,59.5,63.0,574,4.32,4.29,2.56
2313,0.73,Good,F,VVS2,58.2,63.0,3166,5.87,6.01,3.46
2685,0.77,Very Good,G,VS1,60.9,55.0,3243,5.9,5.96,3.61
14474,1.17,Ideal,D,SI2,62.7,57.0,5842,6.7,6.72,4.21
27661,2.01,Good,H,VS2,63.3,55.0,18640,7.87,7.94,5.0
29978,0.35,Ideal,I,IF,61.5,55.0,715,4.53,4.57,2.8
24143,1.8,Good,F,SI2,57.9,58.0,12308,8.13,8.08,4.69
15008,1.27,Ideal,G,SI2,61.8,56.0,6045,6.96,6.93,4.29
44128,0.5,Premium,E,VS2,62.1,62.0,1559,5.1,5.08,3.16
2981,0.77,Premium,G,VVS2,60.8,59.0,3299,5.96,5.92,3.61
49164,0.75,Premium,G,SI2,58.8,60.0,2070,5.99,5.89,3.49
42050,0.41,Ideal,G,IF,61.5,57.0,1269,4.78,4.82,2.95
40554,0.41,Very Good,D,VS1,62.9,57.0,1151,4.73,4.75,2.98
51984,0.25,Very Good,F,VVS2,61.9,57.0,548,4.07,4.11,2.53
10347,1.03,Ideal,F,SI2,61.6,55.0,4769,6.49,6.46,3.99
10968,1.14,Very Good,J,VS1,61.5,59.0,4905,6.64,6.75,4.11
25845,2.04,Premium,G,SI2,62.1,59.0,14900,8.14,8.06,5.03
6605,0.93,Very Good,F,SI1,58.8,60.0,4081,6.37,6.49,3.78
1016,0.74,Ideal,E,VS2,61.9,57.0,2901,5.81,5.78,3.59
34134,0.33,Ideal,F,VVS1,61.1,55.0,854,4.48,4.52,2.75
14424,1.19,Ideal,E,SI2,60.2,57.0,5822,6.87,6.84,4.13
33272,0.32,Good,H,SI1,63.5,57.0,461,4.34,4.39,2.77
36449,0.31,Ideal,D,VS2,62.3,55.0,942,4.37,4.33,2.71
46328,0.5,Very Good,D,VS2,60.8,56.0,1758,5.14,5.16,3.13
10013,1.01,Premium,H,SI1,62.2,54.0,4707,6.48,6.41,4.01
4914,1.25,Premium,F,I1,58.0,59.0,3724,7.12,7.05,4.11
5245,1.23,Ideal,G,SI2,61.6,55.0,3788,6.91,6.88,4.25
5789,1.01,Premium,F,SI2,61.1,57.0,3903,6.48,6.44,3.95
8230,1.0,Very Good,F,SI2,61.1,61.0,4372,6.35,6.38,3.89
50668,0.31,Premium,I,VVS2,59.4,59.0,544,4.41,4.44,2.63
51940,0.72,Very Good,I,VS1,63.8,59.0,2441,5.63,5.71,3.62
50931,0.71,Ideal,I,SI1,62.0,54.0,2319,5.72,5.75,3.55
23471,1.23,Ideal,G,VVS1,59.5,57.0,11469,7.0,6.98,4.16
18871,1.04,Ideal,G,VVS1,62.8,56.0,7738,6.49,6.45,4.06
48287,0.53,Ideal,E,VS2,62.3,57.0,1956,5.23,5.19,3.25
27060,0.32,Very Good,D,VS2,58.8,59.0,646,4.49,4.52,2.65
16221,1.03,Premium,F,VS2,62.0,58.0,6484,6.5,6.46,4.02
41372,0.51,Good,F,SI1,63.1,54.0,1220,5.06,5.12,3.21
41682,0.54,Premium,H,SI1,61.0,58.0,1240,5.27,5.23,3.2
13631,1.2,Ideal,I,SI1,60.1,56.0,5578,6.9,6.84,4.13
15786,1.33,Premium,I,VS2,62.5,61.0,6316,7.02,6.99,4.38
43570,0.41,Ideal,G,IF,61.7,56.0,1431,4.8,4.77,2.95
6551,1.01,Premium,F,SI2,62.0,59.0,4072,6.49,6.43,4.01
35119,0.38,Good,I,IF,56.6,59.0,886,4.82,4.87,2.74
36398,0.31,Ideal,E,VS1,61.7,56.0,942,4.41,4.37,2.71
18910,1.3,Premium,I,IF,61.8,58.0,7760,7.0,6.95,4.31
27335,2.32,Ideal,J,VS1,62.5,54.5,17891,8.44,8.47,5.28
43818,0.51,Ideal,E,SI1,62.0,55.0,1443,5.14,5.12,3.18
14802,1.02,Premium,E,SI1,61.4,58.0,5956,6.48,6.45,3.97
7854,0.9,Very Good,D,SI1,61.0,63.0,4304,6.13,6.1,3.73
48945,0.58,Very Good,F,VS1,62.4,55.0,2046,5.33,5.34,3.33
49803,0.56,Ideal,G,VVS1,62.3,55.0,2164,5.31,5.25,3.29
43136,0.58,Very Good,G,SI1,62.9,57.0,1388,5.3,5.35,3.35
3519,0.81,Ideal,E,SI1,62.3,57.0,3404,5.95,5.99,3.72
22017,1.5,Premium,E,SI2,59.5,55.0,10080,7.51,7.47,4.46
46606,0.54,Premium,D,SI1,62.0,55.0,1786,5.24,5.21,3.24
51688,0.55,Ideal,G,IF,60.6,56.0,2399,5.31,5.33,3.22
1844,0.93,Premium,J,VS1,60.3,58.0,3062,6.37,6.31,3.82
9470,1.07,Good,J,VS2,61.7,57.7,4602,6.55,6.58,4.05
16524,1.31,Ideal,H,SI2,62.2,57.0,6602,7.0,6.96,4.34
12312,1.2,Very Good,H,SI2,63.5,57.0,5221,6.67,6.71,4.25
46599,0.54,Ideal,F,VS2,62.3,56.0,1786,5.2,5.17,3.23
34109,0.3,Ideal,D,VVS1,62.1,56.0,853,4.31,4.32,2.68
45880,0.57,Ideal,D,VS2,60.3,57.0,1718,5.42,5.4,3.26
17132,1.11,Ideal,H,VVS2,61.4,57.0,6837,6.63,6.67,4.08
4012,0.9,Very Good,F,SI2,62.3,58.0,3519,6.16,6.19,3.85
20487,1.5,Premium,G,SI2,60.1,59.0,8820,7.38,7.36,4.43
30957,0.32,Ideal,E,SI2,62.0,55.0,449,4.36,4.41,2.72
31174,0.4,Very Good,F,SI1,62.1,60.0,756,4.66,4.7,2.91
30504,0.31,Ideal,D,SI1,62.9,56.0,732,4.34,4.31,2.72
38111,0.36,Ideal,E,VS2,62.8,55.0,1013,4.56,4.49,2.84
46147,0.55,Premium,F,VS2,62.5,56.0,1746,5.27,5.23,3.28
28336,0.33,Ideal,G,VS1,62.1,54.0,666,4.42,4.47,2.76
5538,0.92,Ideal,H,SI2,60.5,57.0,3854,6.3,6.29,3.81
37829,0.33,Ideal,E,VS1,60.6,57.0,1002,4.54,4.5,2.74
3944,0.72,Ideal,G,VVS1,62.2,57.0,3502,5.72,5.75,3.57
50178,0.71,Very Good,F,SI1,62.1,58.0,2221,5.64,5.72,3.53
26371,1.5,Ideal,D,VS2,62.6,56.0,15848,7.21,7.27,4.53
23988,1.13,Ideal,D,VVS2,60.1,57.0,12150,6.78,6.83,4.09
14877,1.15,Ideal,H,VS2,62.6,57.0,5989,6.75,6.69,4.21
39150,0.55,Very Good,J,VS2,62.6,57.0,1062,5.17,5.21,3.25
180,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55
46669,0.71,Good,I,SI1,62.6,63.0,1788,5.54,5.61,3.49
52567,0.7,Premium,I,VVS1,62.9,58.0,2536,5.67,5.65,3.56
39076,0.4,Ideal,F,VS2,62.0,59.0,1059,4.77,4.71,2.95
32208,0.35,Very Good,H,VS1,60.8,63.0,788,4.57,4.54,2.77
8775,1.01,Premium,F,SI2,62.6,54.0,4468,6.38,6.34,3.98
34238,0.4,Premium,D,SI2,60.4,59.0,855,4.83,4.8,2.91
4122,0.93,Good,D,SI2,63.4,59.0,3540,6.15,6.18,3.91
51698,0.7,Very Good,F,VS2,60.5,57.0,2400,5.74,5.79,3.49
43696,0.5,Premium,F,VS2,60.9,58.0,1436,5.1,5.14,3.12
1605,0.7,Ideal,F,VS2,61.4,58.0,3011,5.7,5.73,3.51
6159,0.91,Ideal,G,SI1,62.6,56.0,3991,6.27,6.3,3.81
6787,1.02,Premium,I,SI1,61.7,58.0,4113,6.48,6.45,3.99
10418,0.8,Ideal,D,VS2,61.3,56.0,4781,5.97,6.0,3.67
36125,0.33,Ideal,E,VS2,61.1,56.0,928,4.48,4.45,2.73
51139,0.51,Premium,F,VVS1,62.6,57.0,2341,5.1,5.06,3.18
48804,0.51,Ideal,F,VVS2,61.4,56.0,2025,5.16,5.17,3.17
20232,1.5,Very Good,I,VS2,63.0,57.0,8662,7.2,7.25,4.55
23621,2.01,Premium,H,SI2,61.9,59.0,11646,8.13,7.97,4.98
45833,0.54,Ideal,E,VS2,62.8,55.0,1713,5.21,5.24,3.28
11989,1.06,Ideal,H,SI1,62.2,57.0,5143,6.56,6.49,4.06
50907,0.71,Fair,I,VS1,57.1,57.0,2318,5.87,5.9,3.36
34792,0.4,Premium,G,VS1,60.7,58.0,877,4.78,4.81,2.91
26051,1.52,Ideal,D,VS2,62.3,56.0,15252,7.41,7.32,4.59
7122,0.6,Ideal,D,VVS1,62.5,55.0,4172,5.4,5.42,3.38
16368,0.33,Premium,I,VVS1,61.9,60.0,608,4.41,4.44,2.74
12010,1.14,Premium,I,VS1,60.3,57.0,5148,6.83,6.81,4.11
14776,1.01,Ideal,G,VS2,62.4,56.0,5946,6.42,6.39,4.0
10660,1.2,Premium,H,VS1,61.7,59.0,4838,6.78,6.74,4.17
41225,0.43,Premium,G,VVS1,60.9,58.0,1207,4.88,4.91,2.98
4185,0.91,Ideal,G,SI2,61.8,56.0,3557,6.21,6.24,3.85
25804,2.33,Very Good,J,VS2,61.8,59.0,14801,8.41,8.56,5.24
